letter,Term,Definition,Committee,lastRevision
B,Base rate,The normal frequency of occurrence of any response per unit of time for that individual or group of individuals. (Also called Base rate).,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
B,Base sequence,The order of nucleotide bases in a DNA (or RNA) molecule; typically read from the 5´ end to the 3´ end.,Biology (Biology / DNA),2018-02-23
B,Baseline,Background response of an instrument.,Biology (Biology / DNA),2018-02-23
B,Baseline,The normal frequency of occurrence of any response per unit of time for that individual or group of individuals. (Also called Base rate).,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
B,Baseline,The ruled or imaginary line upon which writing or typewriting appears to rest.,Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
B,Basement rock,The crust of the Earth below sedimentary deposits.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Basement rock,The undifferentiated complex of rocks that underlies the rocks of interest in an area.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Batch mode search,"In facial identification, a mode of searching records in an automated system in which a group of probes are simultaneously or sequentially launched.",Facial Identification (Digital / Multimedia),2018-02-23
B,Batch search mode,See batch mode search.,Facial Identification (Digital / Multimedia),2018-02-23
B,Batch to Batch Variation,"Within an ink formulation, difference in the concentration of a component of an ink formula due to deviations during production that are within the manufacturer’s tolerance limit.",Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
B,Bay,A Carolina Bay.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Bay,"Any terrestrial formation resembling a bay of the sea, as a recess or extension of lowland along a river valley or within a curve in a range of hills, or an arm of a prairie extending into, or partly surrounded by, a forest.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Bayes' Theorem,"Bayes' theorem is a consequence of the basic laws of probabilities and can be applied for revising beliefs about uncertain propositions in the light of new evidence. In judicial contexts, reasoning according to Bayes' theorem is used to examine whether particular evidence strengthens or  weakens a case. More generally, Baye's theorem provides a standard for logically correct reasoning under uncertainty.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Bayes' Theorem,"An expression for a probability of event A given event B using the probability of event B given event A.                In forensic science, this is expressed in the odds form, which states that the prior odds of event A times the likelihood ratio for event B is equal to the posterior odds of event A given event B.  prior odds X likelihood ratio = posterior odds.",Biology (Biology / DNA),2018-02-23
B,Beach,"A gently sloping area adjacent to a lake or ocean that lies between the low and high water marks, which is devoid of vegetation, and is composed of unconsolidated material, typically sand or gravel, deposited by waves or tides.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Bead,A hoop of steel wires that hold the tire on the rim.,Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
B,Bead Defect,Inked or uninked impression or hole in the paper caused by a contaminant particle encased in plating material located on or adjacent to the printing area of the typeface on a metal coated element.,Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
B,Beam Current,The current that impinges on the specimen. Also referred to as probe current.,Gunshot Residue (Chemistry / Instrumental Analysis),2018-02-23
B,Bedrock,"A general term for the rock, usually solid, that underlies soil or other unconsolidated, superficial material.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Behavior,"Any measurable, physical response of a dog. Can be voluntary (goal directed) or involuntary (reflexive).",Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
B,Behavior modification,"The application of a behavioral technique (e.g., positive reinforcement) to change a behavior.",Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
B,Behavioral chain,A series of independent behaviors that are linked together.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
B,Beidellite,A dioctahedral smectite with the majority of the charge originating in the tetrahedral layer.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Bentonite,"A relatively soft rock formed by chemical alteration of glassy, high silica content volcanic ash. This material shows extensive swelling in water and has a high specific surface area. The principal mineral constituent is clay size smectite.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Benzene,"An aromatic compound naturally occurring in petroleum, a six carbon ring with three alternating/conjugated double bonds between the carbon atoms having the chemical formula C6H6; mw 78.11; bp 80.1˙C (176.2˙F); fp -11˙C (12˙F); flammability range 1.5-8%; CAS [71-43-2].",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Beryl,A berllium aluminum silicate mineral containing Si6O18-12 rings.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Best practice,"A superior method or innovative practice that contributes to the improved performance of an organization, usually recognized as best by other peer organizations.",QIC (FSSB),2018-02-23
B,Best practices,"A system of processes, checks and testing that will deliver an outcome that has fewer problems and fewer unforeseen complications, and that combines the attributes of the most efficient and most effective ways of accomplishing a task based on proven and provable methods.",Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
B,Beveling,"Conical, punched out, or excavated appearance surrounding an area of missing bone, often associated with projectile trauma.",Anthropology (Crime Scene / Death Investigation),2018-02-23
B,Biallelic,A genetic locus in which only two alleles are observed in the population.,Biology (Biology / DNA),2018-02-23
B,Bias,The difference between the expectation of the test results and an accepted reference value.,"Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)QIC (FSSB)",2018-02-23
B,Bias,"The difference between the mean of several measurements under identical conditions, to a known “true” value.  It is often reported as a percent difference.",Chemistry (Chemistry / Instrumental Analysis)Toxicology (Chemistry / Instrumental Analysis),2018-02-23
B,Bias,"Preconception; prejudice; taint; partiality.  Since most persons have biases, the issue is whether the bias is such that impartiality cannot be achieved and a fair outcome cannot occur.  Any predisposition that a judge or arbitrator may have may be grounds for recusal.  Any predisposition that a witness may have may be grounds for impeachment by cross-examination.  Any predisposition that a juror may have may be grounds for excusal determined by through a process known as voir dire.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Bias,The difference between the expectation of the test results and an accepted reference value.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Bias,The quantitative characterication of systematic error.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Bias,The closeness of agreement between the mean of the results of measurements of a measurand and the true (or accepted true) value of a measurand.  It is reported as a percent difference.  The terms accuracy or trueness may also be used to describe bias.,Toxicology (Chemistry / Instrumental Analysis),2018-02-23
B,Bias Tire,A tire that has plies which cross over one another at an angle.,Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
B,Bias-Belted Tire,A bias tire with added reinforced belts that lie beneath the tread.,Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
B,Bin,"Allele designations corresponding to the window of fragment sizes for each allele, determined by empirical testing.",Wildlife Forensics (Biology / DNA),2018-02-23
B,Binary explosive,An explosive made of two chemicals which may not detonate if used separately.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Binary explosive,"An explosive that is formed by mixing or combining two commercially manufactured prepackaged chemical ingredients (consisting of oxidizers, flammable liquids or solids, or similar ingredients), which individually are not classified as explosives but which, when mixed or combined, form a detonable explosive.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Binning,"In facial identification, any technique used by a facial recognition (FR) system to organize or optimize searching based upon some piece(s) of metadata.",Facial Identification (Digital / Multimedia),2018-02-23
B,Binning,The process of parsing (examining) or classifying data to accelerate or improve biometric matching.,Facial Identification (Digital / Multimedia),2018-02-23
B,Biochemistry,The study of chemical processes within and relating to living organisms.,Biology (Biology / DNA),2018-02-23
B,Biofilm,"Organized microbial systems consisting of layers of microbial cells attached to surfaces, with complex structural (i.e., extracellular polysacchrides) and functional (i.e., anaerobic degradion) characteristics. Can form on roots, organic residues, and water pipes for example.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,BIO-FOAM®,A commercial product comprised of collapsible foam used for the recording of footwear and tire evidence.,Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
B,Biogenic gas,Gas formed at shallow depths and low temperatures by anaerobic bacterial decomposition of sedimentary organic matter. Principally containing methane and carbon dioxide.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Biogeography,The study of the geographical distribution of living things.,Wildlife Forensics (Biology / DNA),2018-02-23
B,Biohazard,A biological or chemical substance or situation that is dangerous to human beings and the environment.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
B,Biologic age,the age of an individual based upon the level of physical maturity,(Not Provided),NA
B,Biological evidence,"Samples containing biological material (e.g. hair, tissue, bones, teeth, blood, semen, saliva or other bodily fluids) that have been qualified as evidence in a case by the court.",Biology (Biology / DNA),2018-02-23
B,Biological profile,"The description of an individual’s estimated age, sex, ancestry, and living stature derived from an anthropological (skeletal) analysis.",Anthropology (Crime Scene / Death Investigation),2018-02-23
B,Biological profile,"The description of an individual’s estimated age, sex, ancestry, and living stature derived from an anthropological (skeletal) analysis.",Disaster Victim Identification  (Crime Scene / Death Investigation),2018-02-23
B,Biological specimens,"Samples of tissues (including blood or hair), secretions (breast milk, saliva, or sweat), excretion products (bile, exhaled air, or urine), and other material such as stomach contents or vomit derived from a patient.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Biomarker,Organic compounds in petroleum which have a chemical structure that can be unequivocally linked to a naturally occurring biochemical. Examples of such compounds are pristane and phytane.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Biometric match,"In facial identification, determination that two samples correspond to the same source based on some level of computer-evaluated similarity.  DISCUSSION—Does not inherently imply that the probe and candidate is the same person.",Facial Identification (Digital / Multimedia),2018-02-23
B,Biometric search,The submission of a biometric reference as a probe against a biometric system for identification (one-to-many) or verification (one-to-one). (Compare attempt).,"Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
B,Biometrics,"A set of measurable anatomical, physiological, or behavioral characteristic that can be used to discriminate members of a population.","Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
B,Biometrics,"Collectively, a set of automated processes used to discriminate members of a population using measurable anatomical, physiological, behavioral characteristics, or combinations thereof.","Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
B,Biotechnology,The manipulation of living organisms or their components to produce useful products.,Biology (Biology / DNA),2018-02-23
B,Biotite,"A brown, trioctahedral layer silicate of the mica group with Fe(II) and Mg in the octahedral layer and Si and Al in a ratio of 3:1 in the tetrahedral layer.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Biotite,A general term to designate all ferromagnesian micas.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Biotite,"A widely distributed and important rock-forming mineral of the mica group: K(Mg,Fe2+)3(Al,Fe3+)Si3O10(OH,F)2. It is generally black, dark brown, or dark green, and occurs in various monoclinic polytypes. It forms a constituent of crystalline rocks (either as an original crystal in igneous rocks of all kinds or a product of metamorphic origin in gneisses and schists) or a detrital constituent of sandstones and other sedimentary rocks. Biotite is useful in the potassium-argon method of age determination.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Biparental inheritance,Inheritance from both parents.,Biology (Biology / DNA),2018-02-23
B,Birefringence,The numerical difference between the highest and lowest refractive index of a mineral. Minerals with birefringence exhibit interference colors in thin section when viewed with crossed-polarized light.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Birnessite,(Na0.7Ca0.3)Mn7O14•2.8H2O A black manganese oxide that is common in iron-manganese nodules of soils. It has a layer structure.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Biscuit,Pre-formed or extruded pieces of soling compound that are placed in molds and pressed into the shape of a footwear outsole or heel.,Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
B,Bisequal,"Soils in which two sequa have formed, one above the other, in the same deposit.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Bit stream,A continuous stream of bits transmitted over a channel with no separators between the character groups.,"Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
B,Bit stream duplicate,"In computer forensics, an exact, bit-for-bit reproduction of all data objects independent of any physical media upon which that data is stored. (Compare copy).",Digital Evidence (Digital / Multimedia),2018-02-23
B,Bitemark,a physical alteration in a medium caused by the contact of teeth,(Not Provided),NA
B,Bitewing dental radiograph,an intraoral dental radiograph that images crowns of upper and lower teeth simultaneously and normally does not includes the apices of the teeth,(Not Provided),NA
B,Black powder,"A low explosive composed of potassium nitrate, sulfur, and charcoal; commercial products are generally glazed and produced in specific granulation size ranges.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Black powder,"A low explosive traditionally consisting of potassium nitrate, sulfur and charcoal. Sodium nitrate may be found in place of potassium nitrate.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Black powder substitute,"A modified black powder formulation which may use a chlorate or perchlorate oxidizer in addition to the potassium nitrate, or which may use ascorbic acid as a fuel.   DISCUSSION – Some brand names include Pyrodex, Triple Seven, Black Mag 3, Black Mag XP, Black MZ, Alliant Black Dot, Blackhorn 209, Black Canyon, Golden Powder, Clean Shot, and Clear Shot.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Black powder substitutes,"Modified black powder formulations which may use a chlorate or perchlorate oxidizer in addition to the nitrate; present brand names include Pyrodex, Black Canyon, Golden Powder, Clean Shot, and Clear Shot.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Black Write,"Process in electrostatic printing in which the photoconductive element is charged with a charge of the same sign as that of the toner. A light beam, used like a “stylus” is used to discharge only those areas that are to receive toner to form the image. In the development process, the charged background areas repel the like charged toner to the discharged areas on the photoconductor.",Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
B,Blade,Thin pieces of metal in footwear and tire molds that result in molded sipes.,Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
B,Blank,Specimen or sample not containing the analyte or other interfering substances.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Blank matrix sample,A biological fluid or tissue (or synthetic substitute) without target analyte or internal standard.,Chemistry (Chemistry / Instrumental Analysis)Toxicology (Chemistry / Instrumental Analysis),2018-02-23
B,Blank matrix sample,"A biological fluid or tissue (or synthetic substitute) without target analyte or internal standard. This material may be used to make up quality control samples, calibrators, or matrix blanks.",Toxicology (Chemistry / Instrumental Analysis),2018-02-23
B,Blank search,A training or certification exercise in which the target odor/scent is not present.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
B,Blasting agent,"A high explosive with low-sensitivity. Since it is not ""cap sensitive"" it requires a booster as well as the ""cap"". Many ammonium nitrate-based explosives fall into this category. DOT classification 1.5.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Blasting agent,"A non-detonator sensitive explosive that must be initiated by a booster, or that requires a primer to detonate.        DISCUSSION – Many ammonium nitrate-based explosives fall into this category, which is DOT classification 1.5.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Blasting cap,"A cylindrical shell, usually of metal, containing explosives of containing both a primary high explosive and a base charge, which are used to initiate other explosives; also known as a detonator or cap.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,"Blasting cap or ""cap""",A metal tube containing a primary high explosive capable of initiating most explosives.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Bleed,Ink feathering of one color into an adjacent color over time.,Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
B,Bleed-through,See pull-up.,Biology (Biology / DNA),2018-02-23
B,Blemish,A small extraneous spot found near inked regions of checkwriter impressions that is characteristic of machines that use ribbons as their ink source.,Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
B,Blind experiments,The person obtaining the measurements does not know the treatments.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
B,Blocker,An oversized outsole made of one or more components that are later cut to size.,Bloodstain Pattern Analysis (Physics and Pattern Interpretation),2018-02-23
B,Blocky soil structure,A shape of soil structure. See also soil structure and soil structure shapes.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Blood,"The fluid consisting of plasma, blood cells, and platelets that is circulated by the heart through the vertebrate vascular system, carrying oxygen and nutrients to and waste materials away from all body tissues.",Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
B,Blood Clot,"A gelatinous mass formed by a complex mechanism involving red blood cells, fibrinogen, platelets, and other clotting factors.",Bloodstain Pattern Analysis (Physics and Pattern Interpretation),2018-02-23
B,Blood group,"A classification of blood types based on the presence or absence of inherited forms of antigens on the surface of red blood cells; some 30 blood groups have been characterized in humans, including the ABO system.",Biology (Biology / DNA),2018-02-23
B,Bloodborne pathogens,Infectious microorganisms found in blood that can cause disease in humans.,Wildlife Forensics (Biology / DNA),2018-02-23
B,Bloodstain,A deposit of blood on a surface.,Bloodstain Pattern Analysis (Physics and Pattern Interpretation),2018-02-23
B,Bloodstain pattern,"A grouping or distribution of bloodstains that indicates through regular or repetitive form, order, or arrangement the manner in which the pattern was deposited.",Bloodstain Pattern Analysis (Physics and Pattern Interpretation),2018-02-23
B,Blowout,"A hollow or depression of the land surface, which is generally saucer or trough-shaped, formed by wind erosion especially in an area of shifting sand, loose soil, or where vegetation is disturbed or destroyed. See also miscellaneous area.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Blow-out land,"In soil survey a map-unit which is a type of miscellaneous area from which most of the soil has been removed by wind erosion. The areas are generally shallow depressions with flat, irregular floors, which in some instances have a layer of pebbles or cobbles.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Blunt Force Pattern Injury,An injury to the skin by an object resulting in a pattern that may replicate the design of an object. (Also known as a pattern contusion).,Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
B,Blunt force trauma,"An alteration to the skeleton produced by low-velocity impact from a blunt object (e.g., being struck by an object or concussive wave) or the low-velocity impact of a body with a blunt surface (e.g., motor vehicle accident or fall).",Anthropology (Crime Scene / Death Investigation),2018-02-23
B,Board certified medicolegal death investigator,An experienced Registered medicolegal death investigator who is certified by the American Board of Medicolegal Death Investigators.,MDI (Crime Scene / Death Investigation),2018-02-23
B,Board Certified Physician,"A physician who has completed residency and/or fellowship training in an ACGME-accredited program and passed an examination administered by the American Board of Pathology; in some circumstances, Maintenance of Certification (MOC) will be required to maintain this status.",MDI (Crime Scene / Death Investigation),2018-02-23
B,Body Collection Point (BCP),A BCP is a temporary storage location used to expand refrigerated storage capacity. BCPs are a strategy for providing temporary refrigerated storage of remains while decedent recovery operations are ongoing until personnel transport to a morgue or other facility where the remains will be processed for identification and disposition.,Disaster Victim Identification  (Crime Scene / Death Investigation),2018-02-23
B,Body condition,Weight for frame and relative proportions of muscle and fat.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
B,Body  ,An organization involved with standards.,QIC (FSSB),2018-02-23
B,Bog,"An organic-accumulating wetland that has no significant inflows or outflows and supports acidophilic mosses, particularly Sphagnum. See also fen, marshes, pocosin, swamp, and wetland.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Bog iron ore,Impure ferruginous deposits developed in bogs or swamps by the chemical or biochemical oxidation of iron carried in solution.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Bomb,"A device containing an explosive, incendiary, or chemical material designed to explode.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Bomb,"An explosive device, usually some kind of container filled with explosive charge, designed to cause random destruction when detonated.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Bomb curve dating,A chronometric dating method based on measurement of the amount of artificial radiocarbon in a biological sample.,Anthropology (Crime Scene / Death Investigation),2018-02-23
B,Bond,"Positive relationship, rapport between dogs or a human(s) and a dog.",Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
B,Bone,"One of the structures forming the skeleton of a vertebrate, composed of a collagen-rich organic matrix impregnated with calcium and other minerals.",Wildlife Forensics (Biology / DNA),2018-02-23
B,Bone Folder,"A piece of shaped bone or other material, such as plastic or Teflon, typically used by bookbinders to crease paper and to separate pieces of paper that are stuck together.",Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
B,Booby trap,A concealed or camouflaged device designed to injure or kill personnel.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Booby trap,A device with a hidden or concealed triggering mechanism designed to function by victim actuation  which triggers the initiation system.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Booster,"An explosive charge, usually of high detonation velocity and detonation pressure, designed to be used in the explosive initiation sequence between an initiator or primer and the main charge.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Booster,"Secondary explosives placed between the primary high explosive (blasting cap) and the main explosive charge, with the purpose of amplifying the detonation wave from the primary high explosive so that the main charge (blasting agent) will be initiated.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Boulder,"A detached rock mass larger than a cobble, having a diameter greater than 256 mm (10 in. or about the size of a volleyball), being somewhat rounded or otherwise distinctively shaped by abrasion in the course of transport; the largest rock-fragment size recognized by sedimentologists.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Bouldery,Containing appreciable quantities of boulders. See also rock fragments.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Bragg's Law,"The relationship between x-ray wavelenght(lambda), the crystal planar spacings (d), and the x-ray beam incident angle(theta) when diffraction occurs;n(lambda) = 2dsin(theta).",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Braided stream,"A channel or stream with multiple channels that interweave as a result of repeated bifurcation and convergence of flow around interchannel bars, resembling (in plan view) the strands of a complex braid. Braiding is generally confined to broad, shallow streams of low sinuosity, high bedload, non-cohesive bank material, and a steep gradient.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Branched alkanes,A subclass of aliphatic hydrocarbons where the constituent carbon chain has one or more additional aliphatic hydrocarbon functional groups attached to carbon atoms within (and not at the end of) the chain.  Thus an interior carbon atom in the chain will be bonded to three or four carbon atoms.  Also known as: isoparaffins.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Brannock Device®,The registered name of a foot-measuring device.,Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
B,Breath Alcohol Program,"An organizational structure including policies, procedures, responsibilities and resources necessary for implementing core breath alcohol activities.  The program includes, but may not be limited to, requirements or specifications for reference materials, training of operators, maintenance and calibration of instrumentation, the evidential breath alcohol test sequence, and record retention.",Toxicology (Chemistry / Instrumental Analysis),2018-02-23
B,Breath Alcohol Program Personnel,"Individuals who perform Breath Alcohol Program activities.  This excludes administrative or non-technical support staff, and individuals not employed by the program (typically operators).",Toxicology (Chemistry / Instrumental Analysis),2018-02-23
B,Breccia,"A coarse grained, clastic rock composed of angular fragments (>2mm) bonded by a mineral cement or in a finer-grained matrix of varying composition and origin.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Breeds of dogs,"Groups of dogs based on canalized or restrictive gene pools derived by selective breeding by humans for behavior or function and / or conformation.  When sire and dam come from the same breed, puppies are expected to fall within the broad outlines of the breed standard, which outlines physical and behavioral attributes said to be typical of the breed.",Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
B,Bridge or bridging stimulus,A signal (conditioned reinforcer) that marks (reinforces) a desired behavior. Often called a ÒbridgeÓ because it bridges the gap in time from when the animal performs the desired behavior to when it receives the reward. An example would be the use of a clicker.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
B,Brightfield microscopy,"Viewing a sample with light that is transmitted through it, typically on a compound microscope.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Brisance,The ability of an explosive to shatter an object when fired in direct contact or in its vicinity.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Brisance,The shattering power associated with high  explosives.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Brisance,The shattering power associated with high explosives.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,British thermal unit (BTU),A non-metric unit of heat energy. The amount of heat energy required to raise the temperature of one pound of water one degree Fahrenheit. 1 Btu = 252 Calories = 1055 Joules.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Brucite,The mineral Mg(OH)2; it has a layer type structure with magnesium ions in octahedral coordination and is the structure model for the trioctahedral sheet in layer silicates.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Bubble Ring,An outline within a bloodstain resulting from air in the blood.,Bloodstain Pattern Analysis (Physics and Pattern Interpretation),2018-02-23
B,Buccal swab,A cotton swab or similar collection substrate; used in a relatively non-invasive sample collection technique for scraping the inside of a mouth to collect cells from the inner cheek lining; this is a common method for collecting and preserving samples for DNA testing from known individuals.,Biology (Biology / DNA),2018-02-23
B,Buccal swab,A cotton swab or other similar collection substrate; used in a relatively non-invasive sample collection technique for scraping the inside of a mouth to collect cells from the inner cheek lining; this is a common method for collecting and preserving samples for DNA testing from known individuals.,Disaster Victim Identification  (Crime Scene / Death Investigation),2018-02-23
B,Building search,A training or certification exercise that is conducted on the interior or exterior of a building or structure.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
B,Bulk Analysis,"A term usually used to describe analysis in which all, or a large portion, of the specimen is analyzed. In SEM, the average elemental composition of a material is determined through the analysis of as large an area as possible of the specimen and may be achieved by a single large area raster or the summed results from multiple smaller area rasters.  The term is also used to describe the collection, pooling, and concentration of a sample from a surface such as in the sample collection for GSR by atomic absorption analysis (AAS).",Gunshot Residue (Chemistry / Instrumental Analysis),2018-02-23
B,"Bulk density, soil","The mass of dry soil per unit bulk volume. The value is expressed as Mg per cubic meter, Mg m-3.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Bulk explosives,"Explosives and/or their components that are visible to the naked eye, including with the use of a low-power (up to x20) optical microscope.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,"Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF)",Law enforcement agency within the US department of justice.  http://www.atf.gov.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Buried soil,"Soil covered by an alluvial, loessal, or other surface mantle of more recent depositional material, usually to a depth greater than 50 cm.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Burn,To cause to undergo combustion or be consumed partly or wholly by fire.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Burn pattern(s),"Patterns created when applied heat fluxes are above the critical thresholds to scorch, melt, char, or ignite a surface.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Butane,A flammable gas having the chemical formula C4H10; mw 58.12; bp -0.5˙C (31.1˙F); density = 2.046 (air = 1). CAS [106-97-8].,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
B,Byproduct,A secondary or incidental product of a manufacturing process.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
C,C horizon,"Horizons or layers, excluding hard bedrock, that are little affected by pedogenic processes and lack properties of O, A, E, or B horizons. The material of C horizons may be either like or unlike that from which the solum presumably formed. The C horizon may have been modified even if there is no evidence of pedogenesis.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
C,C4,A white pliable military plastic explosive containing primarily Cyclonite (RDX).,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
C,Cache,"In computer forensics, a temporary storage area set aside on a processor, in memory, or in a filesystem to keep frequently needed data readily available, designed to speed up processing and improve performance.",Digital Evidence (Digital / Multimedia),2018-02-23
C,CAD/CAM,Abbreviation for Computer Assisted Design-Computer Assisted Manufacture.,Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
C,Cadaver,A dead human body or the physical remains of a dead human body.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
C,Cadaver length,The measured length of a body after death.,Anthropology (Crime Scene / Death Investigation),2018-02-23
C,Calcan,A cutan composed of carbonates.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
C,Calcareous,"Said of a substance that contains calcium carbonate. When applied to a rock name it implies that as much as 50% of the rock is calcium carbonate (Stokes and Varnes, 1955).",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
C,Calcareous soil,Soil containing sufficient free CaCO3 and other carbonates to effervesce visibly or audibly when treated with cold 0.1M HCl. These soils usually contain from 10 to almost 1000g kg-1 CaCO3 equivalent.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
